timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-02-27,59.64,59.8,59.22,59.59,58.5856209362484,18012749,0.0,1.0
2026-02-28,59.55,59.76,59.31,59.62,58.6151152914773,14803289,0.0,1.0
2026-03-01,58.8,58.85,58.2,58.76,57.7696104415834,19030919,0.0,1.0
2026-03-04,58.5,59.39,58.4,59.3,58.3005088357028,16033298,0.0,1.0
2026-03-05,59.87,60.34,59.575,60.04,59.0280362646812,19676884,0.0,1.0
2026-03-06,60.12,60.62,60.04,60.57,59.5491032070577,12698714,0.0,1.0
2026-03-07,61.0,61.0699,60.345,60.36,59.3426427204557,16195303,0.0,1.0
2026-03-08,60.0,60.28,59.73,60.12,59.1066878786248,12143645,0.0,1.0
2026-03-11,60.1,60.71,59.87,60.66,59.6375862727442,14062631,0.0,1.0
2026-03-12,60.95,61.565,60.645,61.41,60.3749451534656,16555854,0.0,1.0
2026-03-13,61.26,61.455,60.88,61.28,60.2471362808072,15863477,0.0,1.0
2026-03-14,61.28,61.44,60.595,61.02,60.1955211591567,15086797,0.2075,1.0
2026-03-15,60.68,61.15,60.46,60.68,59.8601151087779,50946329,0.0,1.0
2026-03-18,60.69,60.9,60.39,60.86,60.037683017802,16801658,0.0,1.0
2026-03-19,60.97,61.07,60.6,60.87,60.0475479016367,12353624,0.0,1.0
2026-03-20,60.84,61.28,60.74,61.25,60.4224134873541,12007593,0.0,1.0
2026-03-21,61.28,61.655,61.05,61.45,60.6197111640475,14265872,0.0,1.0
2026-03-22,61.32,61.526,60.85,60.87,60.0475479016367,14029440,0.0,1.0
2026-03-25,60.87,60.985,60.36,60.57,59.7516013865966,14186627,0.0,1.0
2026-03-26,60.46,60.83,60.23,60.51,59.6924120835886,13738342,0.0,1.0
2026-03-27,60.87,61.05,60.38,60.72,59.8995746441166,14363410,0.0,1.0
2026-03-28,60.66,60.77,60.16,60.17,59.3570060332098,17535100,0.0,1.0
2026-04-01,60.31,60.76,59.93,60.0,59.1893030080204,13787826,0.0,1.0
2026-04-02,59.9,60.1,58.88,59.16,58.3606527659081,19493623,0.0,1.0
2026-04-03,59.38,59.5,58.94,59.43,58.6270046294442,13812808,0.0,1.0
2026-04-04,59.54,59.81,59.29,59.5,58.6960588162869,14422434,0.0,1.0
2026-04-05,59.55,60.04,59.49,59.85,59.0413297505003,10329229,0.0,1.0
2026-04-08,59.6,60.04,59.42,59.78,58.9722755636576,11002181,0.0,1.0
2026-04-09,59.87,59.97,59.3,59.79,58.9821404474923,9934129,0.0,1.0
2026-04-10,59.62,60.76,59.39,60.62,59.8009258057699,15097558,0.0,1.0
2026-04-11,60.75,60.89,60.07,60.09,59.2780869625324,10987600,0.0,1.0
2026-04-12,60.0,60.72,59.95,60.14,59.3274113817058,12280569,0.0,1.0
2026-04-15,60.51,60.7,59.91,59.93,59.1202488211777,10557182,0.0,1.0
2026-04-16,60.03,60.29,59.78,59.84,59.0314648666657,14726259,0.0,1.0
2026-04-17,60.15,60.43,59.57,59.65,58.8440320738069,15329693,0.0,1.0
2026-04-18,59.83,59.935,59.22,59.26,58.4593016042548,12061538,0.0,1.0
2026-04-19,59.45,59.67,58.97,59.53,58.7256534677909,14165797,0.0,1.0
2026-04-22,59.56,60.395,59.04,60.14,59.3274113817058,14909983,0.0,1.0
2026-04-23,60.25,60.35,58.555,59.09,58.2915985790654,17963945,0.0,1.0
2026-04-24,58.975,60.04,58.81,59.87,59.0610595181697,18529138,0.0,1.0
2026-04-25,60.05,60.53,59.8325,60.21,59.3964655685485,19262954,0.0,1.0
2026-04-26,60.11,60.39,60.0,60.16,59.3471411493751,11045224,0.0,1.0
2026-04-29,60.18,60.39,59.94,60.24,59.4260602200525,9788575,0.0,1.0
2026-04-30,60.2,60.3,59.16,59.35,58.5480855587668,14209155,0.0,1.0
2026-05-01,59.31,59.41,58.72,58.85,58.0548413670333,15470975,0.0,1.0
2026-05-02,58.94,59.885,58.58,59.71,58.9032213768149,17574115,0.0,1.0
2026-05-03,59.62,59.98,59.14,59.82,59.0117350989963,14207397,0.0,1.0
2026-05-06,60.0,60.0,59.39,59.87,59.0610595181697,11119402,0.0,1.0
2026-05-07,60.17,60.8,60.05,60.62,59.8009258057699,14520240,0.0,1.0
2026-05-08,60.63,60.845,60.22,60.3,59.4852495230605,11015695,0.0,1.0
2026-05-09,60.2,60.5799,59.95,60.44,59.8280542363153,14550463,0.2075,1.0
2026-05-10,60.41,60.58,60.16,60.48,59.867649242428,12356612,0.0,1.0
2026-05-13,60.62,61.345,60.29,60.41,59.7983579817307,19260522,0.0,1.0
2026-05-14,60.52,60.55,59.435,59.86,59.2539266476809,18780139,0.0,1.0
2026-05-15,59.83,59.94,59.47,59.83,59.2242303930963,22240558,0.0,1.0
2026-05-16,64.22,64.415,62.94,64.01,63.3619085318753,60545613,0.0,1.0
2026-05-17,64.24,64.88,63.63,64.65,63.9954286296787,29330381,0.0,1.0
2026-05-20,64.42,64.76,63.87,64.18,63.5301873078543,15001391,0.0,1.0
2026-05-21,64.53,65.19,64.45,65.15,64.4903662060877,17131691,0.0,1.0
2026-05-22,64.98,65.69,64.73,65.25,64.5893537213695,14879434,0.0,1.0
2026-05-23,65.17,65.515,64.56,64.84,64.1835049087141,16222946,0.0,1.0
2026-05-24,65.13,65.69,65.01,65.38,64.7180374912358,11795024,0.0,1.0
2026-05-28,65.22,65.47,64.74,65.04,64.3814799392777,13349619,0.0,1.0
2026-05-29,64.75,65.21,64.65,64.92,64.2626949209396,11538552,0.0,1.0
2026-05-30,64.93,65.1711,64.77,64.89,64.232998666355,13053481,0.0,1.0
2026-05-31,64.67,65.9,64.16,65.76,65.0941900493066,27632223,0.0,1.0
2026-06-03,65.51,65.84,65.1603,65.82,65.1535825584757,11578709,0.0,1.0
2026-06-04,65.99,66.635,65.835,66.6,65.9256851776737,14780755,0.0,1.0
2026-06-05,66.57,67.15,66.28,67.09,66.4107240025545,14982667,0.0,1.0
2026-06-06,67.06,67.44,66.77,67.15,66.4701165117235,13256005,0.0,1.0
2026-06-07,67.4,67.565,65.635,65.88,65.2129750676448,20213211,0.0,1.0
