timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-02-07,49.4,49.49,48.85,48.9,46.5202967154232,4365497,0.0,1.0
2026-02-08,51.0,51.245,50.465,50.68,48.2136735692771,4882057,0.0,1.0
2026-02-09,50.57,50.695,50.325,50.61,48.1470800974963,2783050,0.0,1.0
2026-02-12,50.3,50.61,50.195,50.59,48.1280533912732,2076567,0.0,1.0
2026-02-13,50.51,50.565,49.975,50.1,47.6618990888078,3113228,0.0,1.0
2026-02-14,50.29,50.29,49.7852,50.04,47.6048189701386,2177154,0.0,1.0
2026-02-15,50.08,50.32,49.99,50.09,47.6523857356963,2180504,0.0,1.0
2026-02-16,50.55,50.85,50.375,50.7,48.2327002755002,3484237,0.0,1.0
2026-02-20,51.06,51.425,50.99,51.04,48.5561542812925,2280476,0.0,1.0
2026-02-21,51.08,51.24,51.0301,51.22,48.7273946373002,2322155,0.0,1.0
2026-02-22,50.41,50.755,50.2106,50.72,48.6876288212939,2450238,0.4582,1.0
2026-02-23,50.72,50.8299,50.595,50.66,48.6300330458744,1945344,0.0,1.0
2026-02-26,50.74,50.75,50.432,50.47,48.4476464237126,1692201,0.0,1.0
2026-02-27,49.56,49.755,49.34,49.61,47.622106976033,2327069,0.0,1.0
2026-02-28,48.97,49.24,48.93,49.07,47.1037449972574,1697392,0.0,1.0
2026-03-01,48.93,49.18,48.66,49.15,47.1805393644834,2345788,0.0,1.0
2026-03-04,49.0,49.17,48.99,49.14,47.1709400685801,1470904,0.0,1.0
2026-03-05,49.15,49.3,49.0,49.04,47.0749471095476,1429063,0.0,1.0
2026-03-06,49.13,49.2499,48.99,49.02,47.0557485177411,2378912,0.0,1.0
2026-03-07,48.97,49.06,48.865,48.98,47.0173513341281,2672396,0.0,1.0
2026-03-08,49.17,49.32,49.06,49.18,47.2093372521931,3754294,0.0,1.0
2026-03-11,49.3,49.43,49.12,49.36,47.3821245784517,2488034,0.0,1.0
2026-03-12,49.49,49.745,49.41,49.65,47.660504159646,3501782,0.0,1.0
2026-03-13,49.78,49.945,49.685,49.76,47.7660964145817,2218052,0.0,1.0
2026-03-14,49.79,49.82,49.18,49.28,47.3053302112256,2769307,0.0,1.0
2026-03-15,49.17,49.25,48.88,48.94,46.9789541505151,2246154,0.0,1.0
2026-03-18,48.63,48.745,48.42,48.52,46.5757837225785,1934247,0.0,1.0
2026-03-19,49.92,50.04,49.715,49.86,47.8620893736143,4792097,0.0,1.0
2026-03-20,49.45,49.49,49.105,49.44,47.4589189456777,2073855,0.0,1.0
2026-03-21,49.44,49.585,49.35,49.46,47.4781175374842,2515404,0.0,1.0
2026-03-22,49.96,50.275,49.92,49.99,47.9868802203565,2356868,0.0,1.0
2026-03-25,50.1,50.21,49.585,49.64,47.6509048637427,3977565,0.0,1.0
2026-03-26,50.11,50.195,49.63,49.63,47.6413055678395,3464213,0.0,1.0
2026-03-27,49.55,50.14,49.53,50.14,48.1308696589053,2290516,0.0,1.0
2026-03-28,49.99,50.24,49.95,50.19,48.1788661384216,1290277,0.0,1.0
2026-04-01,49.98,50.12,49.59,49.85,47.852490077711,1200970,0.0,1.0
2026-04-02,49.47,49.54,49.295,49.35,47.3725252825484,2660081,0.0,1.0
2026-04-03,49.32,49.34,48.87,48.9,46.9405569669021,2054892,0.0,1.0
2026-04-04,49.14,49.205,48.65,48.72,46.7677696406435,2085143,0.0,1.0
2026-04-05,48.48,48.5,48.245,48.44,46.4989893553525,2242062,0.0,1.0
2026-04-08,48.25,48.39,48.155,48.18,46.2494076618679,2446594,0.0,1.0
2026-04-09,48.48,48.57,48.23,48.4,46.4605921717395,2995337,0.0,1.0
2026-04-10,48.13,48.19,47.66,47.74,45.8270386421248,2926878,0.0,1.0
